;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
No;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane
186;713;777;244;238;306;294,5;70;89;93;155,5
187;559,4;635;220;207;182;204;64;80;93,4;144
188;558,4;650;220;219;182;209;64;82;92,4;140
189;434,6;484,5;160;159;188;177,5;44;68;42,6;80
190;198;220;74;70;82;78;24;30;18;42
191;380;424,5;126;124;174;155;56;85;24;60,5
192;423,5;507,5;140;165;177;197,5;70;61;36,5;84
193;354,3;428,5;118;120,5;168;182;48;62;20,3;64
194;355,8;409,5;118;121;168;179;48;56;21,8;53,5
195;634;672,5;208;203,5;252;239;70;86;104;144
196;154,1;178,5;58;57;60;60;18;24;18,1;37,5
197;194;227;74;64,5;78;88,5;24;32;18;42
198;182;234,5;64;67;74;91;28;34;16;42,5
199;644,5;815;228;227,5;204;258,5;72;108,5;140,5;220,5
200;638;764,5;210;204;208,5;247;72;101;147,5;212,5
201;217,3;249,5;80;76,5;94;89;22;30;21,3;54
202;414,6;409,5;176;134;174;149,5;36;45,5;28,6;80,5
203;413;446;129;126;222;212;42;48;20;60
204;337,1;385;126;109;98;116;32;45;81,1;115
205;241,2;272,5;94;71,5;76;97;22;34;49,2;70
206;241,2;264;94;80;76;89;22;34;49,2;61
207;491,2;566;176;160;160;177,5;64;80;91,2;148,5
208;491,2;577;176;164,5;160;207,5;64;80;91,2;125
209;358,6;420,5;140;131;112;133;32;47,5;74,6;109
210;363,6;414;140;130,5;112;132;32;47,5;79,6;104
211;807,6;802;276;241;345;283;60;101;126,6;177
212;850;948;280;278;340;323,5;96;121,5;134;225
213;178;207;62;68;70;76;24;29;22;34
214;844,9;900;296;298;434;420;84;98;30,9;84
215;228,9;308;82;91;86;94;32;53;28,9;70
216;736;742,5;252;248;366;349,5;72;78;46;67
217;342;391,5;132;109;136;155;32;46;42;81,5
218;211;272;77;79;82;98;34;44;18;51
219;543,1;585;184;179;252;252;72;87;35,1;67
220;414,6;474,5;176;160,5;174;182,5;36;58;28,6;73,5
221;398;439;124;116;215;207;42;58;17;58
222;386;439;118;114;209;212,5;42;55;17;57,5
223;557,4;641,5;220;190;182;214,5;64;86;91,4;151
224;410,6;513;144;150,5;184;223;64;76;18,6;63,5
225;475,3;658;162;192;214;299;60;72;39,3;95
226;204;247,5;80;77,5;64;86;16;22,5;44;61,5
227;127,4;175;46;51,5;42;57;16;21,5;23,4;45
228;127,4;158,5;46;53;42;46;16;21,5;23,4;38
229;63,6;84;23;25,5;21;25,5;8;11;11,6;22
230;124,2;187,5;46;51;42;63,5;16;28;20,2;45
231;124,2;180;46;48,5;42;61;16;26;20,2;44,5
232;124,2;177;46;51;42;54;16;24,5;20,2;47,5
233;62,1;95;23;22;21;31,5;8;14;10,1;27,5
234;125,2;164;46;53;42;46,5;16;24;21,2;40,5
235;125,2;181;46;51;42;52,5;16;24;21,2;53,5
236;125,2;181;46;47;42;63;16;26;21,2;45
237;184,2;243,5;58;57;46;59;22;33;58,2;94,5
238;174,8;222;69;68,5;64;89,5;18;27;23,8;37
239;235,6;278,5;78;76;96;89;40;57;21,6;56,5
240;290;346;96;97;138;136;36;44;20;69
241;616;679,5;232;205,5;226;223;60;91,5;98;159,5
242;558,4;649,5;220;197,5;182;205,5;64;92;92,4;154,5
