No;Description;Weight for 1;Quantity;Typ;Finish week ;Active;work preparation Plan;work preparation Done;Pre-fabrication plan 
1256;2820;5320;2;B;202118;Active;202108;0;202109
1257;910;390;1;B;202110;Active;202106;0;202106
1258;1461;1280;2;C;202113;Active;202106;0;202107
1259;1520;1060;2;B;202119;Active;202109;0;202111
1260;2528;4160;1;B;202125;Active;202118;0;202120
1261;2218;3630;2;C;202128;Active;202117;0;202118
1262;4340;12020;1;B;202129;Active;202118;0;202119
1263;1616;1160;2;B;202139;Active;202130;0;202131
1264;2528;4160;1;B;202145;Active;202137;0;202139
1265;3230;6400;1;B;202203;Active;202145;0;202147
1266;1616;1160;2;B;202210;Active;202201;0;202202
1267;3230;6400;1;B;202216;Active;202208;0;202210
1268;3230;6400;1;B;202234;Active;202222;0;202218
1269;3230;6400;1;B;202244;Active;202234;0;202236
1270;3230;6400;1;B;202307;Active;202247;0;202249
1271;3230;6400;1;B;202319;Active;202309;0;202311
1272;3230;6400;1;B;202334;Active;202324;0;202326
